ID,bl41,C8166,CEM A 301,CEM SS,CEM X 174,DAUDI,HSB2,HT1080,IMR90,JURKAT E6.1,Jurkat tag,MT4,RAJI,RAMOS,WI38,gene_names
ENSG00000242715,0,0,0,0,0,0,0,52,27,0,0,0,2,0,28,CCDC169
ENSG00000242719,0,0,0,0,0,2,4,0,4,2,0,5,0,1,7,RN7SL806P
ENSG00000242727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UQCRHP4
ENSG00000242729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242731,0,1,0,0,0,0,0,1,0,0,0,3,0,0,2,FAM86LP
ENSG00000242732,0,5,0,0,0,0,1,1,141,6,7,3,0,0,406,RTL5
ENSG00000242735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242737,14,2,0,2,3,13,8,2,17,24,0,16,8,9,22,Unknown
ENSG00000242741,0,0,0,0,0,9,0,4,0,0,0,0,6,0,0,Unknown
ENSG00000242747,1,1,0,0,0,1,1,1,3,0,5,1,0,0,1,RPL21P14
ENSG00000242748,14,3,0,11,0,14,8,8,26,50,5,12,2,3,43,RPL23AP81
ENSG00000242752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NMTRQ-TTG12-1
ENSG00000242753,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Unknown
ENSG00000242756,0,1,0,0,0,2,0,0,0,3,3,2,0,0,0,Unknown
ENSG00000242757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPS18P3
ENSG00000242759,4,0,0,20,0,3,1,0,9,20,3,1,62,1,21,Unknown
ENSG00000242764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL824P
ENSG00000242766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IGKV1D-17
ENSG00000242767,5,1,0,12,0,7,13,11,3,11,2,12,8,1,8,ZBTB20-AS4
ENSG00000242768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPL31P25
ENSG00000242769,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,RN7SL432P
ENSG00000242770,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOC124909383
ENSG00000242779,0,196,0,0,0,2,1,0,232,0,1,5,1,7,127,ZNF702P
ENSG00000242781,0,0,0,23,0,0,0,1,0,0,1,0,6,0,5,LINC02050
ENSG00000242790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242791,4,0,0,2,0,2,5,0,1,11,1,1,0,8,1,Unknown
ENSG00000242793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPL9P26
ENSG00000242794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL299P
ENSG00000242795,0,0,0,8,0,0,0,6,12,9,0,63,1,0,10,Unknown
ENSG00000242797,79,29,1,89,2,87,65,35,79,96,70,130,48,44,66,Unknown
ENSG00000242798,32,2,0,9,0,15,8,5,33,35,16,13,23,19,22,Unknown
ENSG00000242802,372,312,4,339,54,503,481,139,991,553,596,505,947,322,967,AP5Z1
ENSG00000242807,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,RPL26P31
ENSG00000242808,60,1,0,2,0,21,0,1,1,2,17,3,2,4,0,SOX2-OT
ENSG00000242810,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,MRPL42P6
ENSG00000242811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL229P
ENSG00000242814,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Unknown
ENSG00000242816,0,0,0,2,0,0,0,0,9,25,15,0,0,0,2,LOC101926953
ENSG00000242818,3,0,0,1,0,7,5,2,1,8,1,4,6,0,3,RN7SL846P
ENSG00000242828,0,0,0,44,0,0,0,8,1,0,1,0,5,0,2,Unknown
ENSG00000242829,0,11,0,0,0,0,15,2,0,2,0,38,6,0,3,RPS26P21
ENSG00000242834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPL7AP56
ENSG00000242836,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,MTCO3P35
ENSG00000242837,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,RPL21P13
ENSG00000242841,8,0,0,0,0,1,0,0,0,0,1,0,11,0,0,KRT8P35
ENSG00000242849,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Unknown
ENSG00000242850,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Unknown
ENSG00000242852,8,0,0,15,1,24,10,1,12,15,15,6,1,6,28,ZNF709
ENSG00000242853,7,0,0,3,1,14,14,1,57,4,14,9,10,4,100,RN7SL749P
ENSG00000242854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL496P
ENSG00000242856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VN1R105P
ENSG00000242858,4,10,0,12,0,3,2,1,6,2,9,4,5,2,3,RPL13AP14
ENSG00000242860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL180P
ENSG00000242861,36,0,0,10,1,12,25,18,23,44,17,11,4,0,44,Unknown
ENSG00000242863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL677P
ENSG00000242865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL244P
ENSG00000242866,28,2,0,1,0,0,7,0,0,9,4,2,0,3,0,STRC
ENSG00000242875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RBMY1B
ENSG00000242876,3,1,0,0,1,4,5,1,4,10,2,3,3,0,20,RN7SL812P
ENSG00000242879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242880,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,Unknown
ENSG00000242882,3,1,0,8,0,7,7,5,8,22,7,18,7,5,8,RPL5P11
ENSG00000242887,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,IGHJ3
ENSG00000242888,70,4,0,38,3,0,33,0,4,105,64,84,1,27,21,RPS2P3
ENSG00000242889,17,7,0,3,0,14,25,6,3,26,8,33,7,1,23,RN7SL449P
ENSG00000242893,5,1,0,3,0,11,4,4,7,8,4,7,4,3,13,RN7SL413P
ENSG00000242894,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,RN7SL634P
ENSG00000242899,0,1,0,1,1,0,0,0,1,0,2,0,2,0,0,RPL7P16
ENSG00000242902,0,0,0,35,1,0,0,36,1439,3,3,0,0,1,852,FLNC-AS1
ENSG00000242908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242912,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,RN7SL384P
ENSG00000242915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242922,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,RPL21P104
ENSG00000242925,1,0,0,2,0,0,1,1,0,4,0,0,0,0,0,PLCH1-AS2
ENSG00000242928,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,RN7SL868P
ENSG00000242931,29,6,0,17,0,29,14,0,12,49,21,34,25,23,21,RPL7P49
ENSG00000242936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPL30P6
ENSG00000242941,0,0,0,0,0,0,0,0,0,6,2,12,5,0,4,RPL12P7
